system_id,system_type,data_volume,development_year,principle,category,baseline_accuracy,proposed_accuracy,improvement,precision_baseline,precision_proposed,recall_baseline,recall_proposed,f1_baseline,f1_proposed,response_time_baseline,response_time_proposed,error_rate_baseline,error_rate_proposed,scalability_data_size,cost_baseline,cost_proposed
SYS_0000,Performance,Very Large,2020,Veracity,Methodical,0.9119021550172826,0.9916321022187835,0.07972994720150095,0.9069626320768661,0.9757649936120779,0.9074428322290025,0.9817381094477579,0.9072026685581007,0.978742438311022,44.53187364107306,0.7196416284135263,0.08809784498271744,0.008367897781216493,10000000,4003.1150633640573,149.22115592912175
SYS_0000,Performance,Very Large,2020,Accuracy,Methodical,0.9764198810545328,0.995,0.018580118945467183,0.9282888550920193,0.9760178845166483,0.9793227375532523,0.9890217000114008,0.9531231475696786,0.9824767652901029,27.262481753699205,1.6973987957107708,0.023580118945467188,0.0050000000000000044,10000000,5867.05157299192,135.99404067363207
SYS_0000,Performance,Very Large,2020,Validity,Methodical,0.7759448402525396,0.9184298828844657,0.14248504263192607,0.7381768860567275,0.9346751351518634,0.7818378201828626,0.9121156683953002,0.759380294278582,0.9232576141790112,57.771049969731855,0.5707029851647609,0.22405515974746038,0.0815701171155343,10000,5564.242430292963,68.22360877880624
SYS_0000,Performance,Very Large,2020,Relevancy,Managerial,0.7442368582191279,0.8784363493913937,0.13419949117226582,0.7225008002947596,0.8808151665443055,0.7023791874936948,0.896476872662243,0.7122979189659365,0.888577013156717,12.992141363616746,3.6923153573094876,0.2557631417808721,0.1215636506086063,10000000,7378.135394712605,124.73201101373809
SYS_0000,Performance,Very Large,2020,Quality,Managerial,0.7498635039486627,0.9551334340138549,0.20526993006519212,0.7847513014422426,0.9592227135558576,0.7297070993579496,0.943458274848067,0.7562288875711859,0.9512751869540471,69.33762319715728,1.9044599068882575,0.25013649605133725,0.044866565986145135,10000,4056.319290860338,69.88424040888052
SYS_0000,Performance,Very Large,2020,Efficiency,Managerial,0.8294373617696514,0.9527505192138799,0.12331315744422844,0.8382260779632055,0.9689968545476768,0.8444744333044122,0.9764717019935094,0.8413386546054391,0.9727199183523373,54.074312481837026,0.7507651952168742,0.17056263823034856,0.047249480786120124,1000000,6663.689426469987,109.1297787707727
SYS_0000,Performance,Very Large,2020,Fairness,Ethical,0.8792965115387085,0.9602419313860002,0.08094541984729176,0.8690023124763158,0.978360240727383,0.9161123565592841,0.9730167704049193,0.8919357059831228,0.9756811894836974,6.015866223889459,1.0549822324448128,0.12070348846129153,0.039758068613999775,10000,7583.0543826940775,97.53702231821117
SYS_0000,Performance,Very Large,2020,Transparency,Ethical,0.8299814825005349,0.9402970551741545,0.11031557267361958,0.8000466610841825,0.9442243893439118,0.8339495666632952,0.9235444158172196,0.8166463972814613,0.9337699179905466,50.687025327278114,6.705057279000019,0.17001851749946506,0.05970294482584548,1000000,5182.534743350856,60.549425983027064
SYS_0000,Performance,Very Large,2020,Accountability,Ethical,0.7765967892329559,0.8383163635565396,0.06171957432358366,0.7701129785912794,0.8511687680717346,0.7602272181089456,0.8193077724629668,0.7651381680598567,0.8349344278656359,27.76678040368365,1.5460222763058906,0.22340321076704406,0.1616836364434604,1000,5410.275425336677,80.47812581580291
SYS_0001,Recruitment,Medium,2023,Veracity,Methodical,0.9113601358476523,0.9598807038715547,0.048520568023902366,0.8965610299027336,0.9768863230052783,0.8920250398607286,0.960962909185067,0.8942872830241977,0.9688591942612008,26.411316720016735,2.4948340104539373,0.0886398641523477,0.040119296128445336,10000,5988.994023569541,80.08783098167697
SYS_0001,Recruitment,Medium,2023,Accuracy,Methodical,0.911873271537821,0.9830841437789385,0.07121087224111744,0.8709738176926309,0.9743797777318028,0.956547681429065,0.9677221892356745,0.9117572474568638,0.9710395722191539,145.95995577565742,2.6750411424430713,0.08812672846217895,0.01691585622106151,1000000,7046.47846131487,73.76375439923997
SYS_0001,Recruitment,Medium,2023,Validity,Methodical,0.7976900337023279,0.8695670988197055,0.07187706511737757,0.8082439379488486,0.8742116205474089,0.8011144867757621,0.848190866659073,0.8046634205926841,0.861004692619906,83.35958734227626,0.6638396725890983,0.20230996629767206,0.1304329011802945,100000,6710.257447369129,51.65878289278562
SYS_0001,Recruitment,Medium,2023,Relevancy,Managerial,0.7392154953566836,0.8230880582408096,0.08387256288412592,0.749946892974167,0.8123670540948774,0.7561527915151276,0.817494451207961,0.7530370564617058,0.8149226874372725,35.13514587216295,1.352411099495826,0.2607845046433164,0.17691194175919045,10000000,7509.357413523924,75.79416277151556
SYS_0001,Recruitment,Medium,2023,Quality,Managerial,0.7898084802991883,0.9317894909965359,0.1419810106973476,0.7941682872112537,0.9328946148890996,0.7653420103211925,0.9090409371040934,0.779488733598412,0.9208133194176414,48.85753356418523,2.499827983447784,0.21019151970081174,0.06821050900346415,100000,6903.822715480957,139.71102599525773
SYS_0001,Recruitment,Medium,2023,Efficiency,Managerial,0.873836560614647,0.9405088713062258,0.06667231069157886,0.8862478051320369,0.9248640692204709,0.8383548165322887,0.9629994963065841,0.861636305891161,0.9435466090109572,43.10262263557302,2.321996015016903,0.12616343938535302,0.05949112869377415,1000000,4897.077237842239,121.2179221347536
SYS_0001,Recruitment,Medium,2023,Fairness,Ethical,0.832892094520912,0.9384787703560492,0.10558667583513726,0.8534221687899273,0.9440958623201549,0.8677959446595798,0.9473537515575464,0.8605490394604549,0.9457220011460477,11.836083854925983,1.5660099375000633,0.16710790547908805,0.06152122964395079,10000,7892.0422190097825,89.30977246667604
SYS_0001,Recruitment,Medium,2023,Transparency,Ethical,0.7843430810969854,0.9129804343879404,0.12863735329095505,0.807466401713193,0.9130767389642883,0.7915813646749252,0.9125705624390918,0.7994449816856425,0.9128235804807774,59.57740892419507,0.6884997843036013,0.21565691890301464,0.08701956561205959,1000000,4708.442717628196,144.04585843529145
SYS_0001,Recruitment,Medium,2023,Accountability,Ethical,0.783041560034149,0.8627656170001301,0.07972405696598106,0.81958257178429,0.8787654320236099,0.8162120890000651,0.8521250712926114,0.8178938579765835,0.8652402389806576,56.335710163091036,1.2712282502446821,0.21695843996585096,0.1372343829998699,100000,7744.619096643124,119.6029796674973
SYS_0002,Compensation,Small,2025,Veracity,Methodical,0.9279687493615858,0.94634104048915,0.018372291127564222,0.9051559042495487,0.9385920437870083,0.9082086679154249,0.9661386726801194,0.9066797163986299,0.9521661655216368,83.62565222436076,2.929151543137753,0.0720312506384142,0.05365895951084998,100000,5024.827774377833,111.15137108656805
SYS_0002,Compensation,Small,2025,Accuracy,Methodical,0.98,0.9607012188138204,-0.01929878118617956,0.9379522098659928,0.9567348226939438,0.927170379250233,0.9829866327864938,0.9325301309073665,0.9696830842633359,47.81712735367101,0.27630884714775805,0.020000000000000018,0.03929878118617958,100000,4620.166466910977,148.1840888310531
SYS_0002,Compensation,Small,2025,Validity,Methodical,0.8820146197424564,0.8866970068941128,0.004682387151656364,0.8599864246138768,0.8703404524675145,0.8611918966705694,0.8886698595263314,0.8605887384503503,0.8794096570289184,37.10551709289454,1.1462026354881065,0.11798538025754357,0.1133029931058872,100000,7368.092300047925,69.4380033994873
SYS_0002,Compensation,Small,2025,Relevancy,Managerial,0.7956265661858754,0.8809478562100685,0.0853212900241932,0.7668529774607388,0.8680065708917329,0.8404556868194409,0.8922906820288988,0.8019691054298359,0.8799811211629179,17.657678893763467,0.4206691254490044,0.20437343381412465,0.11905214378993145,10000,4737.33469732548,58.08729666171977
SYS_0002,Compensation,Small,2025,Quality,Managerial,0.7433948189177506,0.9450632393864746,0.20166842046872402,0.7105511597113803,0.9607593686052112,0.7382522124689437,0.9303081953094338,0.7241368646232055,0.9452886098223228,18.723451765892822,2.5238560820967977,0.2566051810822494,0.05493676061352537,100000,6920.157266247274,54.771612769164875
